country,region.value,income,health,population
Afghanistan,Europe & Central Asia,1925,"57,63",32526562
Albania,Europe & Central Asia,10620,76,2896679
Algeria,Middle East & North Africa,13434,"76,5",39666519
Andorra,Europe & Central Asia,46577,"84,1",70473
Angola,Sub-Saharan Africa,7615,61,25021974
Antigua and Barbuda,Latin America & Caribbean,21049,"75,2",91818
Argentina,Latin America & Caribbean,17344,"76,2",43416755
Armenia,Europe & Central Asia,7763,"74,4",3017712
Australia,East Asia & Pacific,44056,"81,8",23968973
Austria,Europe & Central Asia,44401,81,8544586
Azerbaijan,Europe & Central Asia,16986,"72,9",9753968
Bahamas,Latin America & Caribbean,22818,"72,3",388019
Bahrain,Middle East & North Africa,44138,"79,2",1377237
Bangladesh,South Asia,3161,"70,1",160995642
Barbados,Latin America & Caribbean,12984,"75,8",284215
Belarus,Europe & Central Asia,17415,"70,4",9495826
Belgium,Europe & Central Asia,41240,"80,4",11299192
Belize,Latin America & Caribbean,8501,70,359287
Benin,Sub-Saharan Africa,1830,"65,5",10879829
Bhutan,South Asia,7983,"70,2",774830
Bolivia,Latin America & Caribbean,6295,"72,3",10724705
Bosnia and Herzegovina,Europe & Central Asia,9833,"77,9",3810416
Botswana,Sub-Saharan Africa,17196,"66,4",2262485
Brazil,Latin America & Caribbean,15441,"75,6",207847528
Brunei,East Asia & Pacific,73003,"78,7",423188
Bulgaria,Europe & Central Asia,16371,"74,9",7149787
Burkina Faso,Sub-Saharan Africa,1654,"62,8",18105570
Burundi,Sub-Saharan Africa,777,"60,4",11178921
Cambodia,East Asia & Pacific,3267,"68,4",15577899
Cameroon,Sub-Saharan Africa,2897,"59,5",23344179
Canada,North America,43294,"81,7",35939927
Cape Verde,Sub-Saharan Africa,6514,"74,6",520502
Central African Republic,Sub-Saharan Africa,599,"53,8",4900274
Chad,Sub-Saharan Africa,2191,"57,7",14037472
Chile,Latin America & Caribbean,22465,"79,3",17948141
China,East Asia & Pacific,13334,"76,9",1376048943
Colombia,Latin America & Caribbean,12761,"75,8",48228704
Comoros,Sub-Saharan Africa,1472,"64,1",788474
"Congo, Dem. Rep.",Sub-Saharan Africa,809,"58,3",77266814
"Congo, Rep.",Sub-Saharan Africa,6220,"61,9",4620330
Costa Rica,Latin America & Caribbean,14132,80,4807850
Cote d'Ivoire,Sub-Saharan Africa,3491,"60,33",22701556
Croatia,Europe & Central Asia,20260,78,4240317
Cuba,Latin America & Caribbean,21291,"78,5",11389562
Cyprus,Europe & Central Asia,29797,"82,6",1165300
Czech Republic,Europe & Central Asia,29437,"78,6",10543186
Denmark,Europe & Central Asia,43495,"80,1",5669081
Djibouti,Middle East & North Africa,3139,"64,63",887861
Dominica,Latin America & Caribbean,10503,"74,6",72680
Dominican Republic,Latin America & Caribbean,12837,"73,8",10528391
Ecuador,Latin America & Caribbean,10996,"75,2",16144363
Egypt,Middle East & North Africa,11031,"71,3",91508084
El Salvador,Latin America & Caribbean,7776,"74,1",6126583
Equatorial Guinea,Sub-Saharan Africa,31087,"60,63",845060
Eritrea,Sub-Saharan Africa,1129,"62,9",5227791
Estonia,Europe & Central Asia,26812,"76,8",1312558
Ethiopia,Sub-Saharan Africa,1520,"63,6",99390750
Fiji,East Asia & Pacific,7925,"66,3",892145
Finland,Europe & Central Asia,38923,"80,8",5503457
France,Europe & Central Asia,37599,"81,9",64395345
Gabon,Sub-Saharan Africa,18627,"60,53",1725292
Gambia,Sub-Saharan Africa,1644,"65,1",1990924
Georgia,Europe & Central Asia,7474,"73,3",3999812
Germany,Europe & Central Asia,44053,"81,1",80688545
